section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans
Logical Reasoning,Puzzles,Hard,"There are 3 boxes: one has apples, one has oranges, and one has both. Labels are wrong. You pick one fruit from box labeled 'Both'. It is an apple. How do you identify all boxes?",Box labeled 'Both' has Apples; box labeled 'Apples' has Both; box labeled 'Oranges' has Oranges,Cannot determine,Box labeled 'Both' has Oranges,Need to open another box,A
Logical Reasoning,Puzzles,Hard,A clock shows 3:15. What is the angle between the hour and minute hands?,7.5°,0°,15°,30°,A
Logical Reasoning,Puzzles,Hard,A man has two coins totaling 30 paise. One is not a 10 paise coin. What are the coins?,20 paise and 10 paise,25 paise and 5 paise,15 paise and 15 paise,20 paise and 20 paise,A
Logical Reasoning,Puzzles,Hard,"If you have a 3-litre jug and a 5-litre jug, how do you measure exactly 4 litres?","Fill 5L, pour into 3L, empty 3L, pour remainder (2L) from 5L into 3L, fill 5L, pour 1L into 3L, leaving 4L in 5L.",Fill 3L jug twice into 5L jug,Fill 5L and remove 1L,Cannot be done,A
Logical Reasoning,Puzzles,Hard,"If a rooster lays an egg on the peak of a roof, which way does it roll?",Roosters don't lay eggs,It rolls left,It rolls right,It stays put,A
Logical Reasoning,Puzzles,Medium,"A river crossing: farmer, fox, chicken, grain. Fox eats chicken; chicken eats grain. Farmer can take one at a time. What is the first move?",Take chicken across first,Take fox across first,Take grain across first,Cannot be solved,A
Logical Reasoning,Puzzles,Hard,"What is the next number: 1, 11, 21, 1211, 111221, ___",312211,122111,121221,221311,A
Logical Reasoning,Puzzles,Medium,"A bag contains 5 red, 3 blue, 2 green balls. Minimum draws needed to guarantee 2 balls of same color?",4,3,5,6,A
Logical Reasoning,Puzzles,Hard,How many squares are there on a standard chessboard (including all sizes)?,204,64,128,256,A
Logical Reasoning,Puzzles,Hard,A train enters a 600m tunnel at 50 km/h. The train is 200m long. How long to pass completely?,57.6 s,60 s,64 s,48 s,A
Logical Reasoning,Puzzles,Easy,A man has 3 daughters. Each daughter has one brother. How many children does the man have?,4,6,3,5,A
Logical Reasoning,Puzzles,Hard,A palindrome number is a 3-digit number that reads same backwards. How many exist?,90,81,100,99,A
Logical Reasoning,Puzzles,Easy,"Two fathers and two sons go fishing. They catch 3 fish total, one each. How?","They are grandfather, father, son (3 people)",Two people,Four people,Three fathers,A
Logical Reasoning,Puzzles,Hard,"Without electricity, how could a man living alone read at night?",He is blind and reads Braille,He uses a phone,He reads by moonlight,He lights a candle,D
Logical Reasoning,Puzzles,Easy,"What can run but never walk, has a mouth but never talks, has a head but never weeps?",A river,A road,A clock,A book,A
Logical Reasoning,Cause and Effect,Easy,"Statement I: The government announced free vaccinations. Statement II: Hospital admissions for preventable diseases dropped significantly.
Relation:","Statement I is the cause, Statement II is the effect","Statement II is the cause, Statement I is the effect",Both are effects of a third cause,Both are independent,A
Logical Reasoning,Cause and Effect,Easy,"Statement I: Fuel prices rose sharply this month. Statement II: Public transport usage increased significantly.
Relation:","Statement I is the cause, Statement II is the effect","Statement II is the cause, Statement I is the effect",Both are independent,Cannot determine,A
Logical Reasoning,Cause and Effect,Easy,"Statement I: The river flooded the fields. Statement II: Farmers reported massive crop losses.
Relation:","I is cause, II is effect","II is cause, I is effect",Both are effects,Both are causes,A
Logical Reasoning,Cause and Effect,Medium,"Statement I: Rampant plastic use is polluting oceans. Statement II: Marine wildlife populations are declining globally.
Relation:","I is cause, II is effect","II is cause, I is effect",Both are independent events,Both are effects of a third factor,A
Logical Reasoning,Cause and Effect,Medium,"Statement I: The school introduced digital tablets for students. Statement II: Student engagement and performance improved significantly.
Relation:","I is cause, II is effect","II is cause, I is effect",Both are independent,Cannot determine,A
Logical Reasoning,Cause and Effect,Easy,"Statement I: Heavy rainfall for three consecutive days. Statement II: Roads in the city have been waterlogged.
Relation:","I is cause, II is effect","II is cause, I is effect",Both are effects,Both are causes,A
Logical Reasoning,Cause and Effect,Hard,"Statement I: Many professionals are opting for remote work. Statement II: Office space rental rates in cities have fallen.
Relation:","I is cause, II is effect","II is cause, I is effect",Independent events,Both are effects of pandemic,A
Logical Reasoning,Cause and Effect,Medium,"Statement I: Smartphone usage among teenagers has increased dramatically. Statement II: Many teenagers now have poor posture and neck pain.
Relation:","I is cause, II is effect","II is cause, I is effect",Both are independent,Cannot determine,A
Logical Reasoning,Cause and Effect,Easy,"Statement I: The company posted record profits. Statement II: Employee bonuses were doubled this quarter.
Relation:","I is cause, II is effect","II is cause, I is effect",Both are independent,Both are causes,A
Logical Reasoning,Cause and Effect,Medium,"Statement I: Crime rates in the neighborhood fell. Statement II: Police patrol frequency in the area was increased.
Relation:","II is cause, I is effect","I is cause, II is effect",Both are independent,Cannot determine,A
Logical Reasoning,Cubes and Dice,Hard,A cube is painted red on all faces and cut into 64 smaller cubes. How many small cubes have no painted face?,8,16,24,32,A
Logical Reasoning,Cubes and Dice,Hard,A cube is painted and cut into 27 smaller cubes. How many have exactly 1 painted face?,6,12,8,24,A
Logical Reasoning,Cubes and Dice,Medium,"On a standard dice, opposite faces add up to 7. If 3 is on top and 4 faces you, which number is at the bottom?",4,3,5,6,A
Logical Reasoning,Cubes and Dice,Hard,A cube is cut into 125 smaller cubes. How many have exactly 3 painted faces?,8,12,4,6,A
Logical Reasoning,Cubes and Dice,Medium,A die shows 2 on top and 3 facing you. What is at the bottom?,5,4,6,1,A
Logical Reasoning,Cubes and Dice,Medium,A cube is painted red on all sides and cut into 8 equal smaller cubes. How many small cubes have exactly 3 painted faces?,8,4,6,0,A
Logical Reasoning,Cubes and Dice,Easy,A rectangular block 2×3×4 is cut into 1×1×1 unit cubes. How many unit cubes are there?,24,12,36,16,A
Logical Reasoning,Cubes and Dice,Hard,A cube is painted on all faces and cut into 216 smaller cubes. How many have no paint?,64,125,100,150,A
Logical Reasoning,Cubes and Dice,Hard,"Opposite faces of a die: 1-6, 2-5, 3-4. Die placed with 1 on top, 2 facing front. What is on right?",3,4,5,6,A
Logical Reasoning,Cubes and Dice,Hard,A 3×3×3 cube is painted on all faces and cut into 27 unit cubes. How many have paint on exactly 2 faces?,12,6,8,24,A
Logical Reasoning,Data Sufficiency,Hard,"Is x > 0?
(I) x² = 4
(II) x + 1 > 0",Statement II alone is sufficient,Statement I alone is sufficient,Both together are sufficient,Neither is sufficient,A
Logical Reasoning,Data Sufficiency,Hard,"What is the value of x?
(I) 2x + y = 10
(II) x − y = 2",Both together are sufficient,Statement I alone,Statement II alone,Neither,A
Logical Reasoning,Data Sufficiency,Medium,"Is triangle ABC equilateral?
(I) All sides are equal.
(II) All angles are 60°.",Either I or II alone is sufficient,Only I is sufficient,Only II is sufficient,Both together are needed,A
Logical Reasoning,Data Sufficiency,Medium,"What is the average age of A, B, C?
(I) Average of A and B is 25.
(II) C's age is 28.",Both together are sufficient,Statement I alone,Statement II alone,Neither alone nor together,A
Logical Reasoning,Data Sufficiency,Medium,"Is n divisible by 6?
(I) n is divisible by 2.
(II) n is divisible by 3.",Both together are sufficient,Statement I alone,Statement II alone,Neither,A
Logical Reasoning,Data Sufficiency,Medium,"What is the selling price?
(I) Cost price is Rs.200.
(II) Profit percentage is 25%.",Both together are sufficient,Statement I alone,Statement II alone,Neither,A
Logical Reasoning,Data Sufficiency,Hard,"What is the perimeter of a rectangle?
(I) Length is 12 cm.
(II) Area is 60 cm².",Both together are sufficient,Statement I alone,Statement II alone,Neither,A
Logical Reasoning,Data Sufficiency,Medium,"Is x an odd number?
(I) x is divisible by 3.
(II) x is not divisible by 2.",Statement II alone is sufficient,Statement I alone is sufficient,Both are needed,Neither is sufficient,A
Logical Reasoning,Data Sufficiency,Hard,"What is the distance from A to C?
(I) Distance from A to B is 5 km.
(II) Distance from B to C is 7 km.","Both statements together might not be sufficient without knowing if A, B, C are collinear",Both alone,Only II,Only I,A
Logical Reasoning,Data Sufficiency,Easy,"How old is Priya?
(I) Priya is 5 years older than Riya.
(II) Riya is 20 years old.",Both together are sufficient,Only I,Only II,Neither,A
Logical Reasoning,Critical Reasoning,Hard,"Argument: 'The crime rate in cities with CCTV cameras is lower than in cities without. Therefore, CCTV cameras reduce crime.' The assumption is:",CCTV cameras are the only difference between the two groups of cities,Cities are identical in all other respects,CCTV cameras record all crime,Police in CCTV cities work harder,B
Logical Reasoning,Critical Reasoning,Hard,"Argument: 'Sales of ice cream rise when drowning accidents increase. Therefore, eating ice cream causes drowning.' The flaw is:",Correlation is mistaken for causation,The sample size is too small,The argument is circular,The conclusion is irrelevant,A
Logical Reasoning,Critical Reasoning,Hard,A company policy states: 'Employees with perfect attendance get a bonus.' Ram received a bonus. What can we conclude?,Ram may or may not have perfect attendance,Ram has perfect attendance,Ram has partial attendance,Cannot conclude anything,A
Logical Reasoning,Critical Reasoning,Hard,Argument: 'Every student who passed the exam studied hard. Priya studied hard.' Conclusion: 'Priya passed the exam.' This argument is:,Invalid – affirming the consequent,Valid deductive argument,Valid inductive argument,Sound and valid,A
Logical Reasoning,Critical Reasoning,Medium,"If the statement 'All politicians are corrupt' is false, which is definitely true?",Some politicians are not corrupt,No politician is corrupt,All politicians are honest,Politicians are rarely corrupt,A
Logical Reasoning,Critical Reasoning,Hard,"'Either the train is on time, or we will be late. We are not late. Therefore, the train was on time.' This is an example of:",Valid disjunctive syllogism,Invalid argument,Circular reasoning,Hasty generalization,A
Logical Reasoning,Critical Reasoning,Hard,Which weakens the argument: 'Students who use laptops in class perform better on exams.'?,High-performing students are more likely to own laptops,Laptops distract students,The study covered 5000 students,Laptops allow better note-taking,A
Logical Reasoning,Critical Reasoning,Hard,All A are B. Some B are C. Therefore:,Some A may or may not be C,All A are C,No A are C,Some A are definitely C,A
Logical Reasoning,Critical Reasoning,Hard,"A man says, 'I always lie.' This statement is:",A paradox,True,False,A valid claim,A
Logical Reasoning,Critical Reasoning,Medium,Which conclusion follows from: 'No honest person is wealthy. Some politicians are wealthy.'?,Some politicians are not honest,All politicians are dishonest,No politician is honest,Wealthy people are dishonest,A
Logical Reasoning,Input-Output,Hard,Machine step pattern — Input: 'bold girl smart work' → Step1: 'girl bold smart work' → Step2: 'girl bold work smart' → What is Step3?,girl bold work smart (already arranged),girl smart bold work,girl work bold smart,smart girl bold work,A
Logical Reasoning,Input-Output,Hard,"In a step process, numbers are arranged in descending order. Input: 5 8 2 9 3 1. Step 2 output is:",9 8 5 2 3 1,9 8 2 5 3 1,8 9 5 2 3 1,9 5 8 2 3 1,A
Logical Reasoning,Input-Output,Hard,Input: 26 15 43 7 31 18. If even numbers are halved and odd numbers are multiplied by 3. Output is:,13 45 21.5 21 93 9,52 45 86 21 93 36,13 45 21.5 21 93 9,13 45 22 21 93 9,A
Logical Reasoning,Input-Output,Medium,Shift cipher: each letter moves +3 positions. Encode 'CAT':,FDW,DFW,FDX,ECV,A
Logical Reasoning,Input-Output,Hard,A machine reverses words and capitalizes first letter of each reversed word. Input: 'hello world test'. Output:,Olleh Dlrow Tset,HELLO WORLD TEST,olleh dlrow tset,Hello World Test,A
Logical Reasoning,Input-Output,Hard,"Input: 84 25 63 12 45. Numbers sorted in ascending order, then each multiplied by 2. Final sequence:",24 50 84 90 126,24 50 90 84 126,24 50 84 126 90,50 24 84 90 126,C
Logical Reasoning,Input-Output,Hard,"In a code: A→D, B→E, C→F,... (shift +3). Decode 'GRR':",DOO,DOP,DNA,EPP,A
Logical Reasoning,Input-Output,Hard,"Step 1: Add positions of all letters. Step 2: Multiply by 2. CAT (3+1+20=24, ×2=48). What is DOG?",60,56,52,72,B
Logical Reasoning,Input-Output,Hard,"A sorting machine arranges numbers: largest moves to end. After pass 1 on [3,1,4,1,5,9]: result is:",3 1 4 1 5 9,1 3 4 1 5 9,3 1 4 1 5 9,3 1 1 4 5 9,A
Logical Reasoning,Input-Output,Hard,Input: RED GREEN BLUE. If all letters are reversed and only first 3 letters of each word taken. Output:,DER NER EUL,RED GRE BLU,DER EER ULB,EDR NEE EUL,A
Logical Reasoning,Venn Diagrams,Medium,"In a class of 50: 30 like Cricket, 20 like Football, 10 like both. How many like neither?",10,15,20,5,A
Logical Reasoning,Venn Diagrams,Medium,"In a group: 60% like A, 50% like B, 20% like both. What % like neither?",10%,15%,20%,5%,A
Logical Reasoning,Venn Diagrams,Medium,"Out of 100 people: 70 read newspaper A, 60 read newspaper B, 40 read both. How many read neither?",10,15,20,5,A
Logical Reasoning,Venn Diagrams,Medium,"A survey found 80 people: 50 have cars, 30 have bikes, 10 have both. How many have neither?",10,15,20,5,A
Logical Reasoning,Venn Diagrams,Hard,"In a group of 200 students: 100 study Physics, 120 study Chemistry, 50 study both. How many study neither?",30,50,20,40,A
Logical Reasoning,Venn Diagrams,Easy,"In a Venn diagram with two circles A and B overlapping: region (A only) = 15, (B only) = 20, (both) = 10. Total elements = ?",45,35,30,50,A
Logical Reasoning,Venn Diagrams,Medium,"Sets: |A| = 40, |B| = 30, |A∪B| = 60. Find |A∩B|.",10,15,20,25,A
Logical Reasoning,Venn Diagrams,Medium,"In a survey, 100 people: 70% like tea, 60% like coffee, 40% like both. What % like only tea?",30%,20%,25%,40%,A
Logical Reasoning,Venn Diagrams,Easy,"Set A = {1,2,3,4,5}, Set B = {3,4,5,6,7}. What is A∩B?","{ 3,4,5}","{1,2,6,7}","{1,2,3,4,5,6,7}","{3,5}",A
Logical Reasoning,Venn Diagrams,Easy,"Set A = {a,b,c,d}, Set B = {c,d,e,f}. What is A∪B?","{a,b,c,d,e,f}","{c,d}","{a,b}","{e,f}",A
Logical Reasoning,Matrix Reasoning,Medium,"Matrix pattern: Row 1: 2, 4, 8. Row 2: 3, 9, 27. Row 3: 4, 16, ?",64,32,256,128,A
Logical Reasoning,Matrix Reasoning,Easy,"Matrix: Row 1: 1, 2, 3. Row 2: 4, 5, 6. Row 3: 7, 8, ?",9,10,11,12,A
Logical Reasoning,Matrix Reasoning,Medium,"Each row sums to same value. Row 1: 5, 3, 8. Row 2: 7, 4, 5. Row 3: 6, ?, 5",5,4,7,6,A
Logical Reasoning,Matrix Reasoning,Easy,"Matrix: Row 1: A1, B2, C3. Row 2: D4, E5, F6. Row 3: G7, H8, ?",I9,I8,J9,H9,A
Logical Reasoning,Matrix Reasoning,Hard,"Each column sums to 15. Column 1: 2, 5, 8. Column 2: 9, 4, 2. Missing in Column 3, Row 2: Row1=4,?=,Row3=6.",5,4,6,3,A
Logical Reasoning,Matrix Reasoning,Easy,Matrix: 1 4 9 / 16 25 36 / 49 64 ?,81,64,100,72,A
Logical Reasoning,Matrix Reasoning,Medium,"Pattern: each element = row × column. Row 3, Col 4 = ?",12,9,16,6,A
Logical Reasoning,Matrix Reasoning,Easy,Matrix: 3 6 9 / 12 15 18 / 21 24 ? (arithmetic progression),27,25,30,28,A
Logical Reasoning,Matrix Reasoning,Easy,Row 1: △ ○ □. Row 2: ○ □ △. Row 3: □ △ ?,○,△,□,●,A
Logical Reasoning,Matrix Reasoning,Hard,"Matrix values: diagonals sum to 15. Main diagonal: 5, ?, 3. Middle element?",7,6,8,4,A
Logical Reasoning,Logical,Medium,"Number series: 2, 5, 10, 17, 26, ?",37,35,38,36,A
Logical Reasoning,Logical,Medium,"Number series: 3, 9, 27, 81, ?",243,162,324,81,A
Logical Reasoning,Logical,Medium,"Number series: 1, 1, 2, 3, 5, 8, ?",13,11,15,10,A
Logical Reasoning,Logical,Medium,"Number series: 5, 10, 20, 40, ?",80,60,100,70,A
Logical Reasoning,Logical,Medium,"Number series: 7, 14, 28, 56, ?",112,84,98,100,A
Logical Reasoning,Logical,Medium,"Letter series: Z, X, V, T, ?",R,S,Q,P,A
Logical Reasoning,Logical,Medium,"Letter series: A, D, G, J, ?",M,L,N,K,A
Logical Reasoning,Logical,Medium,"Letter series: B, D, F, H, ?",J,I,K,L,A
Logical Reasoning,Logical,Medium,"Alphanumeric: A1, B3, C6, D10, ?",E15,E14,F15,E16,A
Logical Reasoning,Logical,Medium,"Find the missing: 1, 4, 9, 16, ?, 36",25,20,30,27,A
Logical Reasoning,Logical,Medium,"Find the odd one out: Cat, Dog, Lion, Sparrow",Sparrow,Cat,Dog,Lion,A
Logical Reasoning,Logical,Medium,"Find the odd one out: Triangle, Circle, Square, Cube",Cube,Triangle,Circle,Square,A
Logical Reasoning,Logical,Medium,"Find the odd one out: Wheat, Rice, Mango, Barley",Mango,Wheat,Rice,Barley,A
Logical Reasoning,Logical,Medium,"Find the odd one out: 4, 9, 16, 25, 36, 48",48,4,9,36,A
Logical Reasoning,Logical,Medium,"Find the odd one out: January, March, May, June",June,January,March,May,A
Logical Reasoning,Logical,Medium,Analogy: Doctor : Hospital :: Teacher : ?,School,Library,Office,Clinic,A
Logical Reasoning,Logical,Medium,Analogy: Book : Library :: Money : ?,Bank,Wallet,Shop,Market,A
Logical Reasoning,Logical,Medium,Analogy: Fish : Water :: Bird : ?,Air,Sky,Nest,Tree,A
Logical Reasoning,Logical,Medium,Analogy: Iron : Hard :: Cotton : ?,Soft,Heavy,Rough,Strong,A
Logical Reasoning,Logical,Medium,Analogy: Pen : Write :: Knife : ?,Cut,Cook,Draw,Sew,A
Logical Reasoning,Logical,Medium,Analogy: Sun : Day :: Moon : ?,Night,Stars,Sky,Cloud,A
Logical Reasoning,Logical,Medium,Analogy: Earth : Planet :: India : ?,Country,City,Continent,State,A
Logical Reasoning,Logical,Medium,Analogy: Cricket : Bat :: Hockey : ?,Stick,Ball,Net,Court,A
Logical Reasoning,Logical,Medium,Analogy: Water : Thirst :: Food : ?,Hunger,Eat,Cook,Taste,A
Logical Reasoning,Logical,Medium,Analogy: Snake : Reptile :: Frog : ?,Amphibian,Insect,Mammal,Bird,A
Logical Reasoning,Logical,Medium,Coding: In code APPLE=BQQMF. How is MANGO coded?,NBOHO,MANGO,NAMGO,NANGO,A
Logical Reasoning,Logical,Medium,"Coding: If CAT=3120, then DOG=?",4157,4167,3267,4267,A
Logical Reasoning,Logical,Medium,Coding: ABCD=DCBA. Then HELP=?,PLEH,HELP,HLEP,PELH,A
Logical Reasoning,Logical,Medium,"Coding: If FLOWER = 67, then PLANT = ?",63,65,61,67,A
Logical Reasoning,Logical,Medium,"Coding: If 1=A, 2=B, 3=C... then INDIA = ?","9, 14, 4, 9, 1","9,13,4,9,1","8,14,4,8,1","9,14,5,9,1",A
Logical Reasoning,Logical,Medium,Blood relation: A's father is B's son. How is A related to B?,Grandson,Son,Nephew,Brother,A
Logical Reasoning,Logical,Medium,Blood relation: X is Y's sister. Y is Z's mother. How is X related to Z?,Aunt,Sister,Mother,Niece,A
Logical Reasoning,Logical,Medium,Blood relation: P is Q's father. Q is R's sister. S is Q's mother. How is P related to S?,Husband,Brother,Father,Son,A
Logical Reasoning,Logical,Medium,Blood relation: M is N's brother. N is O's mother. O is P's daughter. How is M related to O?,Uncle,Brother,Father,Nephew,A
Logical Reasoning,Logical,Medium,Blood relation: A is B's son. C is A's sister. D is C's mother. How is B related to D?,Husband,Brother,Father,Son,A
Logical Reasoning,Logical,Medium,"Direction: A person walks 5 km North, turns right, walks 3 km, turns right again and walks 5 km. Which direction is he now?",South,East,West,North,A
Logical Reasoning,Logical,Medium,"Direction: Starting facing East, a person turns left, then left again, then right. Now facing?",North,South,East,West,A
Logical Reasoning,Logical,Medium,"Direction: X walks 10m East, 6m South, 3m East, 4m North. Where is X from start?","13m East, 2m South","13m East, 2m North",10m East,14m East,A
Logical Reasoning,Logical,Medium,"Direction: Ram starts North, turns right, walks 2km, turns right, walks 3km. Which direction to start?",South West,North East,South East,North West,A
Logical Reasoning,Logical,Medium,"Direction: Going South 2km, turn left 3km, turn left 2km. Direction now?",North,East,South,West,A
Logical Reasoning,Logical,Medium,Syllogism: All cats are animals. All animals are living beings. Which is true?,All cats are living beings,All living beings are cats,No cats are living,Some cats are not living,A
Logical Reasoning,Logical,Medium,Syllogism: All pens are books. No book is paper. Which conclusion follows?,No pen is paper,Some pens are paper,All papers are pens,None of these,A
Logical Reasoning,Logical,Medium,Syllogism: Some flowers are red. All red things are beautiful. Which is true?,Some flowers are beautiful,All flowers are beautiful,No flowers are beautiful,Cannot determine,A
Logical Reasoning,Logical,Medium,Syllogism: All men are mortal. Socrates is a man. Therefore?,Socrates is mortal,Socrates is immortal,All mortals are men,Socrates is not mortal,A
Logical Reasoning,Logical,Medium,Syllogism: No birds are mammals. All dogs are mammals. Which is definitely true?,No dog is a bird,All birds are dogs,Some birds are dogs,None of above,A
Logical Reasoning,Logical,Medium,Calendar: What day is 15 Aug 1947 if 1 Jan 1947 was Wednesday?,Thursday,Friday,Saturday,Sunday,B
Logical Reasoning,Logical,Medium,"Calendar: If 1 March 2022 is Tuesday, what day is 1 March 2023?",Wednesday,Thursday,Friday,Tuesday,A
Logical Reasoning,Logical,Medium,Calendar: How many odd days in a leap year?,2,1,3,0,A
Logical Reasoning,Logical,Medium,"Calendar: A year has 365 days. If Jan 1 is Monday, what day is Dec 31?",Monday,Tuesday,Wednesday,Sunday,A
Logical Reasoning,Logical,Medium,Calendar: Day after day after tomorrow is Sunday. What day is today?,Thursday,Wednesday,Friday,Tuesday,A
Logical Reasoning,Logical,Medium,Clock: At what time between 3 and 4 do minute and hour hands coincide?,3:16.36,3:15,3:20,3:12,A
Logical Reasoning,Logical,Medium,Clock: Angle between hands at 6:30?,15°,0°,30°,45°,A
Logical Reasoning,Logical,Medium,Clock: How many times do clock hands coincide in 12 hours?,11,12,10,13,A
Logical Reasoning,Logical,Medium,Clock: At what time between 4 and 5 are hands opposite?,4:54:32,4:50,5:00,4:45,A
Logical Reasoning,Logical,Medium,Clock: Angle between hands at 9:00?,90°,180°,270°,45°,A
Logical Reasoning,Logical,Medium,"Input-Output: If input is CHAIR → CRIHA, then output of TABLE is?",TLEBA,BATLER,LETAB,TLABE,A
Logical Reasoning,Logical,Medium,"Input-Output: Machine: LEAD → DEAL, POTS → STOP. FLOW → ?",WOLF,FLOW,FOWL,LOWF,A
Logical Reasoning,Logical,Medium,"Mirror image: If word in mirror is READ, what is original?",DAER,READ,DARE,DEAR,A
Logical Reasoning,Logical,Medium,Mirror image: Clock shows 4:30 in mirror. Actual time?,7:30,8:30,9:30,10:30,A
Logical Reasoning,Logical,Medium,"Venn diagram: 25 people like A, 30 like B, 10 like both. How many like only A?",15,20,25,10,A
Logical Reasoning,Logical,Medium,"Venn diagram: 40 engineers, 30 doctors, 10 both. Only engineers?",30,40,20,10,A
Logical Reasoning,Logical,Medium,"Venn diagram: In 100 students, 60 play cricket, 50 play football, 30 play both. Neither?",20,10,30,40,A
Logical Reasoning,Logical,Medium,"Seating: A, B, C, D sit in a row. A not next to C. B is between A and C. Where is B?",2nd position,1st,3rd,4th,A
Logical Reasoning,Logical,Medium,Seating: 5 people sit in circle. X sits left of Y and right of Z. P is right of Y. Who is between Z and P?,X,Y,Q,W,A
Logical Reasoning,Logical,Medium,"Seating: P is 3rd from left, Q is 5th from right, 3 between them. Total persons?",9,8,10,7,A
Logical Reasoning,Logical,Medium,Ranking: Rahul is 15th from top and 26th from bottom. Total students?,40,41,39,42,A
Logical Reasoning,Logical,Medium,"Ranking: A is 12th from left, B is 20th from right. If they swap, A is 18th from left. Total?",37,38,35,40,A
Logical Reasoning,Logical,Medium,"Ranking: In a row of 40, X is 11th from right. Position from left?",30,29,31,28,A
Logical Reasoning,Logical,Medium,"Puzzle: 5 friends A,B,C,D,E have different weights. D>C>B. A>E. C>A. Who is lightest?",E,B,A,D,A
Logical Reasoning,Logical,Medium,Puzzle: A is taller than B. C is taller than A. D is shorter than B. Tallest?,C,A,B,D,A
Logical Reasoning,Logical,Medium,Puzzle: P earns more than Q. R earns less than P. S earns more than P. Who earns least?,Q,P,R,S,A
Logical Reasoning,Logical,Medium,Coding-Decoding: KNIFE coded as MPKHG. FORK coded as?,HQTM,IQTM,HQSM,GQTM,A
Logical Reasoning,Logical,Medium,"Coding: If SLOW = 40, FAST = ?",34,36,32,38,A
Logical Reasoning,Logical,Medium,"Coding: If MACHINE = 19, then ENGINE = ?",14,13,15,16,A
Logical Reasoning,Logical,Medium,Analogy: 8:64 :: 9:?,81,72,63,90,A
Logical Reasoning,Logical,Medium,Analogy: 2:8 :: 4:?,64,32,16,48,A
Logical Reasoning,Logical,Medium,Analogy: BCDE:FGHI :: JKLM:?,NOPQ,OPQR,MNOP,LMNO,A
Logical Reasoning,Logical,Medium,Analogy: PQRS:SRQP :: LMNO:?,ONML,MNOL,NOLM,LNMO,A
Logical Reasoning,Logical,Medium,"Number series: 1, 8, 27, 64, ?",125,100,144,216,A
Logical Reasoning,Logical,Medium,"Number series: 100, 96, 88, 76, ?",60,64,68,56,A
Logical Reasoning,Logical,Medium,"Number series: 4, 7, 12, 19, 28, ?",39,37,40,38,A
Logical Reasoning,Logical,Medium,"Number series: 2, 3, 5, 7, 11, 13, ?",17,15,19,16,A
Logical Reasoning,Logical,Medium,"Number series: 0, 1, 3, 6, 10, 15, ?",21,20,22,18,A
Logical Reasoning,Logical,Medium,"Letter series: AZ, BY, CX, DW, ?",EV,EU,FV,EW,A
Logical Reasoning,Logical,Medium,"Letter series: A, B, D, G, K, ?",P,O,Q,N,A
Logical Reasoning,Logical,Medium,"Odd one out: Addition, Subtraction, Division, Mathematics",Mathematics,Addition,Division,Subtraction,A
Logical Reasoning,Logical,Medium,"Odd one out: Delhi, Mumbai, Chennai, Kashmir",Kashmir,Delhi,Mumbai,Chennai,A
Logical Reasoning,Logical,Medium,"Odd one out: Ear, Eye, Nose, Mouth, Leg",Leg,Ear,Eye,Nose,A
Logical Reasoning,Logical,Medium,"Odd one out: 2, 3, 5, 7, 9, 11",9,3,5,11,A
Logical Reasoning,Logical,Medium,"Odd one out: 121, 144, 169, 196, 215",215,121,169,196,A
Logical Reasoning,Logical,Medium,"Odd one out: FLOW, GLOW, BLOW, SLOW, STOP",STOP,FLOW,GLOW,BLOW,A
Logical Reasoning,Logical,Medium,"Logical sequence: Which comes next: 1, 2, 4, 8, 16, __?",32,24,28,30,A
Logical Reasoning,Logical,Medium,"Logical sequence: J, F, M, A, M, J, J, A, S, O, ?",N,D,Nov,Oct,A
Logical Reasoning,Logical,Medium,"If A=1, B=2... Z=26, then CAB=?",6,5,7,8,A
Logical Reasoning,Logical,Medium,"If A=26, B=25... Z=1, then BAD=?",49,50,52,48,B
Logical Reasoning,Logical,Medium,Statement-Assumption: Statement: Install fire extinguishers in offices. Assumption?,Offices catch fire frequently,No one can put out fire,Fire is dangerous in offices,Both A and C,C
Logical Reasoning,Logical,Medium,Statement-Conclusion: All vegetables are healthy. Broccoli is a vegetable. Conclusion?,Broccoli is healthy,All healthy things are vegetables,Some vegetables aren't healthy,Cannot conclude,A
Logical Reasoning,Logical,Medium,Statement-Argument: Should all cars be banned in cities? For: Reduces pollution. Against?,Reduces mobility,Expensive to own,Hard to repair,Old models pollute less,A
Logical Reasoning,Logical,Medium,Fact-Inference: 80% of students passed. Inference?,Most students passed,All failed,School is bad,Teachers helped,A
Logical Reasoning,Logical,Medium,"Critical reasoning: If only honest people get promoted and X got promoted, then X is?",Honest,Dishonest,Smart,Hard-working,A
Logical Reasoning,Logical,Medium,"If some managers are leaders, and all leaders inspire, then?",Some managers inspire,No managers inspire,All inspire,Cannot say,A
Logical Reasoning,Logical,Medium,Arrangement: 6 books on shelf. Red always left of Blue. Green never at ends. How many arrangements?,Many but restricted,Exactly 6,Exactly 24,,A
Logical Reasoning,Logical,Medium,Puzzle: 3 boxes. Box A has fruit if Box C has toys. Box C has toys. What does Box A have?,Fruit,Toys,Books,Cannot tell,A
Logical Reasoning,Logical,Medium,Deduction: All trains are fast. Some trains are red. Are all red trains fast?,Cannot be determined,Yes,No,Not stated,A
